# File generated at 2024-08-28 10:29:37 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	20
2	2	2	2	2	20
3	3	3	3	3	20
4	3	3	3	3	20
5	2	0	3	2	20
6	2	1	2	2	20
7	1	1	2	2	20
8	1	1	2	2	20
9	1	1	3	2	20
10	1	1	2	2	20
11	1	1	2	2	20
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	3	3	3	3
