sampleID,date,sample,region,site,species,latDD,longDD,depthFt,depthM,depthZone
13-VIII-19-1-012,8/13/19,FKX001,Upper Keys,FK-01,Xestospongia muta,25.2157,-80.1924,168,51.2,Mesophotic
14-VIII-19-1-009,8/14/19,FKX002,Upper Keys,FK-02,Xestospongia muta,25.15874833,-80.21938833,157,47.9,Mesophotic
14-VIII-19-1-014,8/14/19,FKX003,Upper Keys,FK-02,Xestospongia muta,25.15874833,-80.21938833,142,43.3,Mesophotic
14-VIII-19-2-002,8/14/19,FKX004,Upper Keys,FK-03,Xestospongia muta,25.15517,-80.23328667,111,33.8,Mesophotic
14-VIII-19-2-004,8/14/19,FKX005,Upper Keys,FK-03,Xestospongia muta,25.15517,-80.23328667,111,33.8,Mesophotic
15-VIII-19-1-004,8/15/19,FKX006,Upper Keys,FK-04,Xestospongia muta,25.10855167,-80.261585,165,50.3,Mesophotic
15-VIII-19-2-001,8/15/19,FKX007,Upper Keys,FK-06,Xestospongia muta,25.03631167,-80.31959,160,48.8,Mesophotic
15-VIII-19-2-007,8/15/19,FKX008,Upper Keys,FK-06,Xestospongia muta,25.03631167,-80.31959,42,12.8,Shallow
15-VIII-19-2-009,8/15/19,FKX009,Upper Keys,FK-06,Xestospongia muta,25.03631167,-80.31959,141,43,Mesophotic
16-VIII-19-2-007,8/16/19,FKX010,Lower Keys,FK-08,Xestospongia muta,24.49172,-81.59309833,81,24.7,Shallow
22-VIII-19-1-003,8/22/19,FKX011,Tortugas Bank,Site 17,Xestospongia muta,24.65211,-83.103095,114,34.7,Mesophotic
22-VIII-19-1-023,8/22/19,FKX012,Tortugas Bank,Site 17,Xestospongia muta,24.65211,-83.103095,112,34.1,Mesophotic
23-VIII-19-1-010,8/23/19,FKX013,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,101,30.8,Mesophotic
23-VIII-19-1-011,8/23/19,FKX014.1,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,100,30.5,Mesophotic
23-VIII-19-1-011,8/23/19,FKX014.2,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,100,30.5,Mesophotic
23-VIII-19-1-011,8/23/19,FKX014.3,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,100,30.5,Mesophotic
23-VIII-19-1-012,8/23/19,FKX015,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,101,30.8,Mesophotic
23-VIII-19-1-013,8/23/19,FKX016,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,101,30.8,Mesophotic
23-VIII-19-1-016,8/23/19,FKX017,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,98,29.9,Shallow
23-VIII-19-1-032,8/23/19,FKX018,Tortugas Bank,Site 35/36,Xestospongia muta,24.64042,-83.10294333,99,30.2,Mesophotic
23-VIII-19-2-001,8/23/19,FKX019,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,67,20.4,Shallow
23-VIII-19-2-003,8/23/19,FKX020,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,68,20.7,Shallow
23-VIII-19-2-004,8/23/19,FKX021,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,67,20.4,Shallow
23-VIII-19-2-005,8/23/19,FKX022,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-006,8/23/19,FKX023,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,65,19.8,Shallow
23-VIII-19-2-007,8/23/19,FKX024,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,64,19.5,Shallow
23-VIII-19-2-009,8/23/19,FKX025,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,68,20.7,Shallow
23-VIII-19-2-010,8/23/19,FKX026,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,69,21,Shallow
23-VIII-19-2-013,8/23/19,FKX027,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-018,8/23/19,FKX028,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,69,21,Shallow
23-VIII-19-2-019,8/23/19,FKX029.1,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,68,20.7,Shallow
23-VIII-19-2-019,8/23/19,FKX029.2,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,68,20.7,Shallow
23-VIII-19-2-020,8/23/19,FKX030,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,67,20.4,Shallow
23-VIII-19-2-021,8/23/19,FKX031,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,69,21,Shallow
23-VIII-19-2-023,8/23/19,FKX032,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,64,19.5,Shallow
23-VIII-19-2-024,8/23/19,FKX033,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-032,8/23/19,FKX034,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,65,19.8,Shallow
23-VIII-19-2-037,8/23/19,FKX035,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-038,8/23/19,FKX036,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-039,8/23/19,FKX037,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,67,20.4,Shallow
23-VIII-19-2-042,8/23/19,FKX038,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,64,19.5,Shallow
23-VIII-19-2-043,8/23/19,FKX039,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-2-044,8/23/19,FKX040,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,65,19.8,Shallow
23-VIII-19-2-045,8/23/19,FKX041,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,65,19.8,Shallow
23-VIII-19-2-046,8/23/19,FKX042,Tortugas Bank,Site 37,Xestospongia muta,24.67518667,-83.068585,66,20.1,Shallow
23-VIII-19-4-002,8/23/19,FKX043,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,97,29.6,Shallow
23-VIII-19-4-003,8/23/19,FKX044,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,97,29.6,Shallow
23-VIII-19-4-004,8/23/19,FKX045,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
23-VIII-19-4-005,8/23/19,FKX046,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,101,30.8,Mesophotic
23-VIII-19-4-006,8/23/19,FKX047,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
23-VIII-19-4-007,8/23/19,FKX048,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,101,30.8,Mesophotic
23-VIII-19-4-008,8/23/19,FKX049,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,96,29.3,Shallow
23-VIII-19-4-009,8/23/19,FKX050,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,99,30.2,Mesophotic
23-VIII-19-4-010,8/23/19,FKX051,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,101,30.8,Mesophotic
23-VIII-19-4-011,8/23/19,FKX052,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,101,30.8,Mesophotic
23-VIII-19-4-012,8/23/19,FKX053,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
23-VIII-19-4-013,8/23/19,FKX054,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
23-VIII-19-4-014,8/23/19,FKX055,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
23-VIII-19-4-015,8/23/19,FKX056,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,101,30.8,Mesophotic
23-VIII-19-4-016,8/23/19,FKX057,Tortugas Bank,Site 35/36,Xestospongia muta,24.640415,-83.10294667,100,30.5,Mesophotic
