sampleID,tubeID,species,depthFt,region,site,latDD,longDD,od,bd,h
02-IX-20-1-001,SFX001,Xestospongia muta,43,West Palm,SEFL-12,26.65238667,-80.02068167,42.135,50.287,47.783
02-IX-20-1-002,SFX002,Xestospongia muta,44,West Palm,SEFL-12,26.65238667,-80.02068167,54.335,55.359,56.246
02-IX-20-1-003,SFX003,Xestospongia muta,43,West Palm,SEFL-12,26.65238667,-80.02068167,35.481,80.513,67.2
02-IX-20-1-004,SFX004,Xestospongia muta,42,West Palm,SEFL-12,26.65238667,-80.02068167,41.583,60.047,50.734
02-IX-20-1-005,SFX005,Xestospongia muta,43,West Palm,SEFL-12,26.65238667,-80.02068167,31.057,44.9,48.512
02-IX-20-1-006,SFX006,Xestospongia muta,48,West Palm,SEFL-12,26.65238667,-80.02068167,32.769,45.747,60.818
02-IX-20-1-007,SFX007,Xestospongia muta,48,West Palm,SEFL-12,26.65238667,-80.02068167,57.16,54.451,53.855
02-IX-20-1-008,SFX008,Xestospongia muta,47,West Palm,SEFL-12,26.65238667,-80.02068167,41.729,51.893,33.24
02-IX-20-1-009,SFX009,Xestospongia muta,51,West Palm,SEFL-12,26.65238667,-80.02068167,28.585,51.839,51.645
02-IX-20-1-010,SFX010,Xestospongia muta,52,West Palm,SEFL-12,26.65238667,-80.02068167,25.625,36.686,30.896
02-IX-20-2-001,SFX011,Xestospongia muta,49,West Palm,SEFL-11,26.6785,-80.01825,31.513,36.093,25.617
02-IX-20-2-002,SFX012,Xestospongia muta,49,West Palm,SEFL-11,26.6785,-80.01825,28.661,34.173,29.774
02-IX-20-2-003,SFX013,Xestospongia muta,50,West Palm,SEFL-11,26.6785,-80.01825,27.214,30.734,27.082
02-IX-20-2-004,SFX014,Xestospongia muta,49,West Palm,SEFL-11,26.6785,-80.01825,42.066,53.54,64.319
02-IX-20-2-005,SFX015,Xestospongia muta,55,West Palm,SEFL-11,26.6785,-80.01825,32.545,45.937,47.839
02-IX-20-2-006,SFX016,Xestospongia muta,54,West Palm,SEFL-11,26.6785,-80.01825,42.259,62.713,78.311
02-IX-20-2-007,SFX017,Xestospongia muta,54,West Palm,SEFL-11,26.6785,-80.01825,23.689,30.408,34.802
02-IX-20-2-008,SFX018,Xestospongia muta,49,West Palm,SEFL-11,26.6785,-80.01825,26.103,32.823,33.135
02-IX-20-2-009,SFX019,Xestospongia muta,49,West Palm,SEFL-11,26.6785,-80.01825,86.678,74.397,49.005
02-IX-20-2-010,SFX020,Xestospongia muta,52,West Palm,SEFL-11,26.6785,-80.01825,18.818,36.736,31.221
02-IX-20-3-001,SFX021,Xestospongia muta,47,West Palm,SEFL-08,26.71043333,-80.01581667,53.337,67.403,45.819
02-IX-20-3-002,SFX022,Xestospongia muta,47,West Palm,SEFL-08,26.71043333,-80.01581667,25.118,36.536,32.904
02-IX-20-3-003,SFX023,Xestospongia muta,47,West Palm,SEFL-08,26.71043333,-80.01581667,17.594,21.616,18.48
02-IX-20-3-004,SFX024,Xestospongia muta,49,West Palm,SEFL-08,26.71043333,-80.01581667,36.594,29.295,15.013
02-IX-20-3-005,SFX025,Xestospongia muta,51,West Palm,SEFL-08,26.71043333,-80.01581667,31.216,42.704,33.6
02-IX-20-3-006,SFX026,Xestospongia muta,48,West Palm,SEFL-08,26.71043333,-80.01581667,52.614,58.945,82.931
02-IX-20-3-007,SFX027,Xestospongia muta,49,West Palm,SEFL-08,26.71043333,-80.01581667,55.462,63.252,51.316
02-IX-20-3-008,SFX028,Xestospongia muta,49,West Palm,SEFL-08,26.71043333,-80.01581667,31.072,38.522,41.61
02-IX-20-3-009,SFX029,Xestospongia muta,50,West Palm,SEFL-08,26.71043333,-80.01581667,26.105,41.504,43.187
02-IX-20-3-010,SFX030,Xestospongia muta,50,West Palm,SEFL-08,26.71043333,-80.01581667,26.521,42.598,50.296
10-IX-20-1-001,SFX031,Xestospongia muta,64,Jupiter,SEFL-06,26.8987735,-80.01638333,25.038,49.167,34.724
10-IX-20-1-002,SFX032,Xestospongia muta,65,Jupiter,SEFL-06,26.8987735,-80.01638333,47.794,76.864,50.801
10-IX-20-1-003,SFX033,Xestospongia muta,66,Jupiter,SEFL-06,26.8987735,-80.01638333,32.049,56.679,50.153
10-IX-20-1-004,SFX034,Xestospongia muta,66,Jupiter,SEFL-06,26.8987735,-80.01638333,51.272,51.908,20.83
10-IX-20-1-005,SFX035,Xestospongia muta,66,Jupiter,SEFL-06,26.8987735,-80.01638333,23.559,34.466,32.093
10-IX-20-1-006,SFX036,Xestospongia muta,67,Jupiter,SEFL-06,26.8987735,-80.01638333,19.91,33.645,30.656
